Site,Plot,Year,Collection,Date_set,Date_collected,Aphaenogaster ,Stenamma,Myrmecina,Pheidole,Syllophopsis,Myrmica,Camponotus,Lasius,Formica,Ponera,Linepithema,Aconthomyops,Amblyopone
Windthrow,Windthrow47,2015,1,5/27/2015,6/10/2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Windthrow,Windthrow63,2015,1,5/27/2015,6/10/2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Windthrow,Windthrow59,2015,1,5/27/2015,6/10/2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Windthrow,Windthrow43,2015,1,5/27/2015,6/9/2015,11.8,0,0,0,0,0,0,0,5.4,0,0,0,0
Forest,Forest50,2015,2,6/9/2015,6/24/2015,12.1,0.9,5.6,0,0,0,0.9,6.5,0.9,0,0,0,0.9
Forest,Forest64,2015,2,6/9/2015,6/25/2015,15.8,0.9,0,0,0,0,8.8,6.1,0,0,0,0,0
Forest,Forest41,2015,2,6/9/2015,6/25/2015,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0
Forest,Forest45,2015,2,6/10/2015,6/24/2015,13,0,1,0,0,0,0,0,0,0,0,0,0
Forest,Forest56,2015,2,6/9/2015,6/25/2015,10.5,1.8,0,0,0,0,0.9,0,4.4,0,0,0,0
Forest,Forest44,2015,2,6/9/2015,6/24/2015,13.1,0,0,0,0,0,0.9,0,0,0,0,0,0
Forest,Forest48,2015,2,6/10/2015,6/24/2015,2,1,0,0,0,0,3,0,0,0,0,0,0
Forest,Forest60,2015,2,6/9/2015,6/25/2015,7.9,0,0,0,0,0,0,0,2.6,0,0,0,0
Forest,Forest58,2015,2,6/9/2015,6/25/2015,3.5,2.6,1.8,0,0,0,1.8,0,0,0,0,0,0
Forest,Forest52,2015,2,6/9/2015,6/24/2015,9.3,3.7,1.9,0,0,0,0,0,0,0,0,0,0
Forest,Forest54,2015,2,6/9/2015,6/25/2015,6.1,0,0,0,0,0,0,0,0,0,0,0,0
Forest,Forest62,2015,2,6/9/2015,6/25/2015,3.5,1.8,1.8,0,0,0,0,0.9,0,0,0,0,0
Salvaged,Salvagedd61,2015,2,6/9/2015,6/25/2015,12.3,5.3,1.8,0,0,0,0.9,0,0,0,0,0,0
Salvaged,Salvagedd42,2015,2,6/9/2015,6/24/2015,9.3,0.9,0,0,0,0,0,0,2.8,0,0,0,0
Salvaged,Salvagedd49,2015,2,6/9/2015,6/24/2015,0,0,0,0,0,0,0,0,1.9,0,0,0,0
Salvaged,Salvagedd46,2015,2,6/10/2015,6/24/2015,5,2,2,0,0,0,0,0,0,0,0,0,0
Salvaged,Salvagedd53,2015,2,6/9/2015,6/25/2015,9.6,0,0.9,0,0,0,0,0.9,7,0,0,0,0
Salvaged,Salvagedd57,2015,2,6/9/2015,6/25/2015,6.1,7.1,1.8,0,0,0,3.5,0.9,0,0,0,0,0
Windthrow,Windthrow51,2015,2,6/9/2015,6/24/2015,4.7,2.8,2.8,0,0,0,0,0.9,0,0,0,0,0
Windthrow,Windthrow55,2015,2,6/9/2015,6/25/2015,14.9,3.5,2.6,0,0,0,0,1.8,2.6,0,0,0,0
Windthrow,Windthrow47,2015,2,6/10/2015,6/24/2015,13,4,1,0,0,0,1,8,0,1,0,0,0
Windthrow,Windthrow43,2015,2,6/9/2015,6/24/2015,8.4,0.9,0.9,0,0,0,2.8,0,0.9,0,0,0,0
Windthrow,Windthrow59,2015,2,6/9/2015,6/25/2015,6.1,0.9,0,0,0,0,0,0,0.9,0,0,0,0
Windthrow,Windthrow63,2015,2,6/9/2015,6/25/2015,3.5,7.9,0,0,0,0,4.4,14.9,0,0,0,0,0
